# Constructed from biom file
# OTU ID	Unspecified	taxonomy	taxid
3	1.0	sk__Eukaryota;k__Alveolata	
1470	7.0	sk__Eukaryota;k__Fungi	
13856	1.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Erysiphe;s__Erysiphe_kusanoi	
17177	1.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales	
17307	3.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae	
20728	3.0	sk__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_sp	
41232	2.0	sk__Eukaryota;k__Ichthyosporia	
41263	29.0	sk__Eukaryota;k__Metazoa	
60214	1.0	sk__Eukaryota;k__Rhodoplantae	
